date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:53	78101/78101	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202025%2008:13:52%20GMT	https://motohom.co.in/influencer/index.php	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/index.html	(from )
13:43:53	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2018:49:41%20GMT	https://motohom.co.in/robots.txt		(from )
13:43:55	2232/2232	---M--	200	added ('OK')	image/webp	date:Tue,%2019%20Nov%202024%2013:02:11%20GMT	https://motohom.co.in/influencer/assets/images/favicon.webp	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/images/favicon.webp	(from https://motohom.co.in/influencer/index.php)
13:43:57	99365/99365	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:47%20GMT	https://motohom.co.in/influencer/assets/css/font-awesome-all.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/font-awesome-all.css	(from https://motohom.co.in/influencer/index.php)
13:43:57	1772/1772	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:44%20GMT	https://motohom.co.in/influencer/assets/css/flaticon.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/flaticon.css	(from https://motohom.co.in/influencer/index.php)
13:43:58	5171/5171	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:48%20GMT	https://motohom.co.in/influencer/assets/css/owl.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/owl.css	(from https://motohom.co.in/influencer/index.php)
13:44:00	197170/197170	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:42%20GMT	https://motohom.co.in/influencer/assets/css/bootstrap.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/bootstrap.css	(from https://motohom.co.in/influencer/index.php)
13:44:02	13735/13735	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:46%20GMT	https://motohom.co.in/influencer/assets/css/jquery.fancybox.min.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/jquery.fancybox.min.css	(from https://motohom.co.in/influencer/index.php)
13:44:03	83809/83809	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:41%20GMT	https://motohom.co.in/influencer/assets/css/animate.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/animate.css	(from https://motohom.co.in/influencer/index.php)
13:44:06	7001/7001	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Nov%202024%2014:39:43%20GMT	https://motohom.co.in/influencer/assets/css/color.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/color.css	(from https://motohom.co.in/influencer/index.php)
13:44:08	115313/115313	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202024%2007:29:53%20GMT	https://motohom.co.in/influencer/assets/css/style.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/style.css	(from https://motohom.co.in/influencer/index.php)
13:44:09	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	C:/My%20Web%20Sites/motohom_copy/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://motohom.co.in/influencer/index.php)
13:44:09	12482/12482	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Nov%202024%2011:31:51%20GMT	https://motohom.co.in/influencer/assets/css/responsive.css	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/responsive.css	(from https://motohom.co.in/influencer/index.php)
13:44:10	583/583	---M-Z	-1	error ('Read%20error%20when%20decompressing')	text/html	date:Wed,%2007%20Sep%202022%2018:49:41%20GMT	https://motohom.co.in/influencer/assets/css/century-gothic-font/CenturyGothic.woff2	C:/My%20Web%20Sites/motohom_copy/motohom.co.in/influencer/assets/css/century-gothic-font/CenturyGothic.c.delayed	(from https://motohom.co.in/influencer/index.php)
